,Type,gender,age,height,weight,EER[kcal],P target(15%)[g],F target(25%)[g],C target(60%)[g],number of dishes,E[kcal],P[g],F[g],C[g],Salt[g],Vegetables[g],Score(1:worst 2:bad 3:good 4:best)
809,lunch,female,43,160,48,2020,76,56,303,3,993,26.6,60.7,80.5,2.3,0,1
810,dinner,female,43,160,48,2020,76,56,303,8,924,25.9,22.4,91.5,3.5,96,3
811,lunch,female,43,160,48,2020,76,56,303,1,961,38.0,50.0,89.9,7.7,130,2
812,dinner,male,61,160,60,2026,76,56,304,2,1134,41.6,61.9,95.7,4.7,120,2
813,lunch,male,61,160,60,2026,76,56,304,1,830,16.8,21.3,137.4,2.5,90,2
814,breakfast,male,61,160,60,2026,76,56,304,1,524,17.4,6.4,96.2,3.2,24,2
815,breakfast,female,43,160,48,2020,76,56,303,7,591,26.8,28.1,55.2,3.5,105,3
816,lunch,female,39,158,51,1940,73,54,291,4,466,18.2,24.3,39.8,2.6,40,2
817,dinner,male,61,160,60,2026,76,56,304,1,975,35.5,38.1,113.2,3.4,38,2
818,lunch,male,61,160,60,2026,76,56,304,2,772,29.1,44.5,61.5,3.7,55,2
819,breakfast,female,39,158,51,1940,73,54,291,3,348,13.7,7.3,56.7,1.4,0,2
820,breakfast,male,61,160,60,2026,76,56,304,2,210,8.3,6.2,32.3,0.2,0,1
821,lunch,female,26,159,51,2042,77,57,306,5,1072,34.6,63.5,86.9,3.7,0,1
822,lunch,male,39,173,58,2105,79,58,316,2,722,17.5,26.1,99.9,2.6,32,2
823,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
824,lunch,male,39,173,58,2105,79,58,316,2,664,24.7,31.8,67.2,3.2,93,3
825,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
826,dinner,male,40,172,65,2582,97,72,387,1,302,17.2,14.6,24.2,2.8,140,2
827,breakfast,male,40,172,65,2582,97,72,387,1,188,3.3,0.4,41.6,1.0,6,1
828,dinner,female,26,159,51,2042,77,57,306,1,477,22.9,15.1,58.2,0.1,30,1
829,breakfast,female,26,159,51,2042,77,57,306,3,306,8.4,13.5,37.8,0.8,0,1
830,lunch,female,26,159,51,2042,77,57,306,3,726,19.6,25.8,100.8,2.7,114,2
831,lunch,male,39,173,58,2105,79,58,316,3,865,20.6,42.1,100.7,4.7,9,2
832,breakfast,male,39,173,58,2105,79,58,316,3,304,7.1,2.9,64.9,0.8,0,1
833,dinner,female,26,159,51,2042,77,57,306,5,700,19.7,23.8,97.6,2.9,75,2
834,lunch,female,26,159,51,2042,77,57,306,3,603,16.3,46.0,30.5,2.2,113,2
835,breakfast,male,36,179,64,2274,85,63,341,1,86,17.6,0.9,1.0,0.8,2,1
836,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
837,lunch,male,39,173,58,2105,79,58,316,1,879,27.6,31.9,113.7,4.2,52,2
838,lunch,male,40,172,65,2582,97,72,387,1,879,27.6,31.9,113.7,4.2,52,2
839,dinner,male,39,173,58,2105,79,58,316,3,713,61.9,9.0,88.7,6.5,18,2
840,breakfast,male,39,173,58,2105,79,58,316,2,218,6.0,2.7,42.4,0.8,0,1
841,lunch,male,39,173,58,2105,79,58,316,2,705,15.1,27.9,94.7,2.1,109,3
842,lunch,male,40,172,65,2582,97,72,387,1,688,18.4,29.7,80.2,4.6,20,2
843,breakfast,female,43,160,48,2020,76,56,303,2,391,9.7,15.8,53.7,5.9,189,2
844,dinner,male,39,173,58,2105,79,58,316,4,847,40.3,49.8,56.5,6.5,271,2
845,dinner,female,43,160,48,2020,76,56,303,5,1168,35.9,24.2,73.1,4.3,360,2
846,lunch,female,43,160,48,2020,76,56,303,4,712,22.3,27.4,90.0,4.6,75,3
847,breakfast,female,43,160,48,2020,76,56,303,2,773,19.0,37.3,84.1,5.3,101,2
