Date,Open,High,Low,Close,Volume
10/19/2017,3741.15,3847.49,3643.2,3737.61,0
10/20/2017,3737.3,3899.25,3635.57,3741.07,0
10/21/2017,3734.99,3794.43,3574.77,3688.69,0
10/22/2017,3690.49,3776.88,3571.09,3669.46,0
10/23/2017,3663.46,3706.74,3448.54,3577.13,0
10/24/2017,3573.07,3856,3434.43,3644.8,0
10/25/2017,3646.73,3759,3516.73,3678.77,0
10/26/2017,3679.65,3783.73,3605.82,3683.63,0
10/27/2017,3683.83,3767.99,3601.5,3667.05,0
10/28/2017,3673.04,3759.76,3592.09,3660.49,0
10/29/2017,3657.07,3941.97,3620.26,3811.55,0
10/30/2017,3804.6,3895.2,3732.11,3813.21,0
10/31/2017,3809.02,3926.73,3738.47,3844.91,0
11/1/2017,3829.37,4027.96,3787.12,4020.61,0
11/2/2017,4025.68,4370.91,4007.08,4201.68,0
11/3/2017,4206.9,4441.36,4157.47,4288.24,0
11/4/2017,4265.31,4451.68,4176.22,4382.25,0
11/5/2017,4395.73,4518.91,4347.2,4397.29,0
11/6/2017,4395.02,4428.21,4166.48,4178.94,0
11/7/2017,4179.04,4318.49,4175.93,4251,0
11/8/2017,4248.92,4623.29,4225.38,4437.76,0
11/9/2017,4430.26,4447.66,4234.16,4270.18,0
11/10/2017,4286.69,4424.91,3858.83,4016.46,0
11/11/2017,4015.8,4228.87,3768.17,3926.22,0
11/12/2017,3892.31,4260.73,3426.44,3718.01,0
11/13/2017,3708.51,4227.43,3595.69,4049.99,0
11/14/2017,4050.23,4180.78,3972.26,4088.2,0
11/15/2017,4087.26,4497.66,4072.32,4460.87,0
11/16/2017,4463.83,4832.39,4328.98,4728.77,0
11/17/2017,4719.62,4853.81,4545.88,4680.41,0
11/18/2017,4675.2,4820.7,4541.15,4743.85,0
11/19/2017,4731.21,4927.89,4669.23,4870.64,0
11/20/2017,4872.01,5060.66,4817.29,4979.88,0
11/21/2017,4981.92,5066.74,4709.78,4896.87,0
11/22/2017,4900.45,5068.34,4898.04,5033.91,0
11/23/2017,5022.01,5112.23,4907.62,4975.18,0
11/24/2017,4990.69,5202.95,4900.15,5112.85,0
11/25/2017,5104.31,5429.15,5055.29,5408.74,0
11/26/2017,5407.45,5848.89,5388.54,5733.51,0
11/27/2017,5744.05,6018.76,5723.19,5995.97,0
11/28/2017,5998.87,6174.52,5931.34,6119.6,0
11/29/2017,6129.43,6990.44,5806.79,5979,0
11/30/2017,5994.34,6535.96,5561.36,6194.15,0
12/1/2017,6168.49,6668.63,5872.19,6595.38,0
12/2/2017,6592.26,6860.58,6441.92,6665.74,0
12/3/2017,6673.11,7276.1,6479.81,6870.8,0
12/4/2017,6869.49,7363.49,6683.69,7269.77,0
12/5/2017,7284.51,7770.6,7030.07,7520.48,0
12/6/2017,7508.55,8317.53,7036.84,7682.07,0
12/7/2017,7688.9,8553.06,7082.95,8068.58,0
12/8/2017,8068.08,9205.32,7147.79,8610.41,0
12/9/2017,8648.1,9133.18,7581.63,8204.7,0
12/10/2017,8206.73,8383.83,7092.96,7876.48,0
12/11/2017,7861.29,9123.6,7830.36,8824.11,0
12/12/2017,8843.82,10572.4,8632.71,10136,0
12/13/2017,10136.4,11023.4,9254.68,10182.3,0
12/14/2017,10157.4,11768.5,9779.33,11211.5,0
12/15/2017,11218.6,11784.5,10011,11207.5,0
12/16/2017,11224.4,12263.8,10970.4,11754.2,0
12/17/2017,11765.2,12854.3,11520.5,12217.8,0
12/18/2017,12245.1,14018.5,11636.6,13640,0
12/19/2017,13646.5,15607.8,12846.5,14357.4,0
12/20/2017,14356.7,15813.6,12892.5,14756.7,0
12/21/2017,14810.6,16596.2,13567.7,15003.4,0
12/22/2017,15075.8,15522.1,9438.53,12443.9,0
12/23/2017,12637.3,14711.5,12310.7,13623.9,0
12/24/2017,13698.5,13940.7,11392.5,13028.3,0
12/25/2017,13117.5,14246.2,12527.6,13612.7,0
12/26/2017,13620.5,14718.1,13236.6,14317.6,0
12/27/2017,14304.7,15357.5,13478.7,14437.7,0
12/28/2017,14413.5,14687.9,12610.3,13747.6,0
12/29/2017,13828.3,15882.3,13342,15375.1,0
12/30/2017,15354.9,16462.4,13273.1,14081.1,0
12/31/2017,13817.1,15526.9,13506.7,15107.2,0
1/1/2018,15111.7,16105.3,14296.9,15473.2,0
1/2/2018,15505.6,17643.8,15089.9,16902.6,0
1/3/2018,16867.9,19296.5,16249,18543.3,0
1/4/2018,18605.6,20913.5,17337.2,19097.9,0
1/5/2018,19186.5,21361.7,17628.5,19174.1,0
1/6/2018,19189.6,21136.8,18142.1,20142.1,0
1/7/2018,20138,22088.3,19276.8,20796.6,0
1/8/2018,20801,21565.7,16437,18484.8,0
1/9/2018,18455.3,19679.8,17088,18213.7,0
1/10/2018,18265.7,19132.1,16362.1,18285.2,0
1/11/2018,18297.7,18896.9,15330.3,16430.9,0
1/12/2018,16488.8,18441.1,15939,17907,0
1/13/2018,17926.9,19874.3,17572.4,18896.5,0
1/14/2018,18855.4,19494.8,16954.6,17967.6,0
1/15/2018,17960.5,18990.2,16896.6,17345.8,0
1/16/2018,17353.9,17521.3,10938.1,13369.5,0
1/17/2018,13322.5,14454.7,10082.4,13536.3,0
1/18/2018,13519.5,15295.5,12899.4,14095.5,0
1/19/2018,13973.4,15046.3,13403.9,14196.4,0
1/20/2018,14291.2,16056.6,14163.6,15671.4,0
1/21/2018,15692.8,15785,13349.2,13822.3,0
1/22/2018,13918,14500.1,11994.8,13080.6,0
1/23/2018,13048.3,13656.7,11893.6,12957.1,0
1/24/2018,12986.7,13961.2,12579.7,13532.8,0
1/25/2018,13650.7,14190.9,13134,13495.9,0
1/26/2018,13456.8,14032.1,12291.4,13356.2,0
1/27/2018,13359.2,14042.8,13033.1,13719.2,0
1/28/2018,13769.5,14908.2,13673.9,14619.6,0
1/29/2018,14612,14815.1,13686.1,14004.9,0
1/30/2018,14065,14153.4,12068.1,12282.5,0
1/31/2018,12276,12953.9,11547.5,12596,0
2/1/2018,12618.6,12822.4,10324.2,10898.1,0
2/2/2018,10872.5,10945,8033.34,10127.6,0
2/3/2018,10181.5,11206.3,9126,10737.5,0
2/4/2018,10713.2,11047.2,9058.8,9424.25,0
2/5/2018,9420.41,9635.9,7340.02,7742.99,0
2/6/2018,7836.37,9058.5,6481.57,8932.47,0
2/7/2018,8892.45,9623.53,8126.7,8506.34,0
2/8/2018,8520.46,9791.36,8498.19,9491.45,0
